Timestamp,People_Count,Camera_Location
2025-04-23 05:13:17,1,Main Entrance
2025-04-23 05:13:17,2,Main Entrance
2025-04-23 05:13:20,3,Main Entrance
2025-04-23 05:13:22,5,Main Entrance
2025-04-23 05:13:24,5,Main Entrance
2025-04-23 05:13:26,4,Main Entrance
2025-04-23 05:13:28,4,Main Entrance
2025-04-23 05:13:30,3,Main Entrance
2025-04-23 05:13:32,3,Main Entrance
2025-04-23 05:13:35,5,Main Entrance
2025-04-23 05:13:37,4,Main Entrance
2025-04-23 05:13:39,4,Main Entrance
2025-04-23 05:13:41,4,Main Entrance
2025-04-23 05:13:43,5,Main Entrance
